"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"EARTH 30",0,0,1,0,0,1,0,0,0,0,0,0,0
"EARTH 4",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTH 6",0,1,1,0,0,1,0,0,0,0,0,0,0
"EARTH 7",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTH 8",0,0,1,0,0,1,0,0,0,0,0,0,0
"EARTH 9",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTHW 20",0,0,1,0,1,1,0,0,0,0,0,0,0
"ECON 1",0,0,0,0,0,0,0,1,0,0,0,0,0
"ECON 107",0,1,0,0,0,0,0,0,0,0,0,0,0
"ECON 117",0,1,0,0,0,0,0,0,0,0,0,0,0
"ECON 2",0,0,0,0,0,0,0,1,0,0,0,0,0
"ECON 9",0,0,0,0,0,0,0,1,0,0,0,0,0
"ED 20",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 134",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 135",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 136",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 138",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 142",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 179",0,1,0,0,0,0,0,0,0,0,0,0,0
"EEMB 21",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 22",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 23",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 3",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 40",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB 50",0,0,1,0,0,1,0,0,0,0,0,0,0
"EEMB W 22",0,0,1,0,0,1,0,0,0,0,0,0,0
"ENGL 101",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 102",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 103",0,1,0,0,0,0,0,0,0,0,0,0,1
